RegionStation,Month,MinTemp,MaxTemp,Humidity,Wind,SunHours,Rad,Eto_mm/day,SoilType
Agra,January,8,22.3,56,52,7.1,13.5,1.91,Alluvial
Agra,February,10.4,25.2,45,69,8.2,16.8,2.7,Alluvial
Agra,March,15.9,32,24,69,8.1,19.3,3.73,Alluvial
Agra,April,22.3,38.5,17,95,8.8,22.2,5.41,Alluvial
Agra,May,26.4,41.6,22,95,8.3,22.4,6.05,Alluvial
Agra,June,28.5,40.7,46,121,6.7,20.1,6.15,Alluvial
Agra,July,26.8,35.2,74,121,4.9,17.3,4.61,Alluvial
Agra,August,25.8,33.7,82,95,4.8,16.6,3.96,Alluvial
Agra,September,24.4,34.4,73,69,6.6,17.8,4.09,Alluvial
Agra,October,19.9,34.3,44,52,8.3,17.7,3.66,Alluvial
Agra,November,13.7,29.7,45,26,8.2,15.1,2.38,Alluvial
Agra,December,9.1,24,64,26,7.4,13.1,1.77,Alluvial
Ahmadabad,January,11.8,28.3,38,147,8.5,16.3,3.84,Alluvial
Ahmadabad,February,13.9,30.4,37,147,9,18.9,4.47,Alluvial
Ahmadabad,March,18.9,35.6,26,164,8.2,20.2,5.91,Alluvial
Ahmadabad,April,23.7,39.8,26,190,8.9,22.9,7.51,Alluvial
Ahmadabad,May,26.2,41.5,32,242,9.5,24.2,8.85,Alluvial
Ahmadabad,June,27.2,38.4,53,268,7.8,21.8,7.54,Alluvial
Ahmadabad,July,25.6,33.4,67,242,4.2,16.2,5.13,Alluvial
Ahmadabad,August,24.6,31.8,68,190,3.8,15.3,4.37,Alluvial
Ahmadabad,September,24.2,34,60,164,6.1,17.5,4.9,Alluvial
Ahmadabad,October,21.1,35.8,41,95,8.6,19,4.61,Alluvial
Ahmadabad,November,16.6,32.8,43,95,8.6,16.9,3.79,Alluvial
Ahmadabad,December,13.2,29.3,45,121,8.3,15.4,3.47,Alluvial
Ajmer,January,7.3,22.2,47,61,7.4,14,2.09,Black
Ajmer,February,9.9,25.3,35,69,8,16.8,2.79,Black
Ajmer,March,15.7,30.7,27,112,8.5,20,4.46,Black
Ajmer,April,21.9,35.9,22,130,9.3,23,5.95,Black
Ajmer,May,27.3,39.5,26,207,9.9,24.9,8.23,Black
Ajmer,June,27.7,38.1,42,242,9.1,23.7,8.05,Black
Ajmer,July,25.6,33.2,64,199,5,17.5,5.2,Black
Ajmer,August,24.3,30.9,71,147,3.6,14.9,3.96,Black
Ajmer,September,23.7,32.1,59,138,7.3,18.8,4.76,Black
Ajmer,October,17.8,32.9,36,69,8.9,18.5,3.9,Black
Ajmer,November,10.9,28.9,37,35,8.3,15.5,2.44,Black
Ajmer,December,7.7,24.4,44,35,7.7,13.7,1.88,Black
Akola,April,25.2,40.9,25,147,8.9,23,6.88,Black
Akola,August,23.7,30.4,76,216,3.4,14.6,3.92,Black
Akola,December,13.7,29.2,50,69,8.4,16.3,2.97,Black
Akola,February,16.2,32.1,30,121,9.2,19.9,4.55,Black
Akola,January,14.3,29.7,41,95,8.8,17.3,3.46,Black
Akola,July,24.3,32.1,74,216,3,14.3,4.19,Black
Akola,June,26.1,37.1,52,242,6.3,19.4,6.8,Black
Akola,March,20.4,37,28,121,8.4,20.8,5.41,Black
Akola,May,27.9,41.9,29,242,8.5,22.8,8.85,Black
Akola,November,16.6,31.5,46,95,8.5,17.4,3.81,Black
Akola,October,21,33.7,48,95,8,18.8,4.43,Black
Akola,September,23.5,32.5,68,147,5,16.2,4.21,Black
Alibag,January,17.7,28.2,60,95,9.2,18.5,3.5,Red
Alibag,February,18.4,28.6,62,112,9.6,20.8,4.06,Red
Alibag,March,21.2,30.1,67,138,10,23.5,4.86,Red
Alibag,April,24.2,31.1,75,164,10.1,24.9,5.33,Red
Alibag,May,26.4,31.8,77,199,9.2,23.7,5.4,Red
Alibag,June,26,30.8,84,311,6.9,20.1,4.58,Red
Alibag,July,25.3,29.2,89,518,4.8,16.9,3.65,Red
Alibag,August,24.9,28.8,87,432,5.1,17.2,3.72,Red
Alibag,September,24.4,29.2,84,207,6.7,18.9,3.99,Red
Alibag,October,23.6,31.2,75,112,8.6,20,4.24,Red
Alibag,November,20.9,31.3,64,95,9.4,19,3.93,Red
Alibag,December,18.7,29.7,59,86,9.1,17.7,3.45,Red
Aligarh,January,7.6,21.7,59,86,7.2,13.4,2.09,Alluvial
Aligarh,February,9.9,24.9,51,112,7.9,16.3,2.98,Alluvial
Aligarh,March,14.9,30.7,39,121,8.4,19.6,4.35,Alluvial
Aligarh,April,20.6,37.1,28,138,9.2,22.7,6.07,Alluvial
Aligarh,May,26.3,41.2,28,147,10.1,25.1,7.34,Alluvial
Aligarh,June,28.4,40,42,156,9.2,23.8,7.24,Alluvial
Aligarh,July,26.7,34.9,70,138,5.8,18.6,5.01,Alluvial
Aligarh,August,25.7,33.1,76,104,5.1,16.9,4.13,Alluvial
Aligarh,September,24.5,33.5,69,104,7.3,18.7,4.43,Alluvial
Aligarh,October,19,33.4,53,78,8.3,17.5,3.88,Alluvial
Aligarh,November,12.1,29,47,78,8.2,15,2.93,Alluvial
Aligarh,December,8.3,23.7,56,78,7.4,12.9,2.15,Alluvial
Allahabad,January,8.3,23.9,67,91,9.8,17.1,2.5,Alluvial
Allahabad,February,10.6,26.1,55,84,9.9,19.5,3.12,Alluvial
Allahabad,March,16.1,33.3,28,96,9.8,22,4.58,Alluvial
Allahabad,April,21.7,39.4,23,122,11.1,25.9,6.45,Alluvial
Allahabad,May,26.7,41.7,27,206,11.5,27.2,8.78,Alluvial
Allahabad,June,28.3,39.4,57,235,8.6,23,7.42,Alluvial
Allahabad,July,26.7,33.3,86,199,7,20.5,4.81,Alluvial
Allahabad,August,26.1,31.7,90,165,6.3,18.8,4.06,Alluvial
Allahabad,September,25,32.8,86,115,8,19.9,4.35,Alluvial
Allahabad,October,19.4,32.2,65,69,10.2,20.6,4.13,Alluvial
Allahabad,November,12.2,28.3,63,62,10.4,18.1,3.02,Alluvial
Allahabad,December,8.3,24.4,74,69,9.8,16.3,2.29,Alluvial
Allahabad-Bamhrauli,January,8.7,23.1,63,95,7.3,14.2,2.34,Alluvial
Allahabad-Bamhrauli,February,10.7,26.2,52,104,8.4,17.6,3.17,Alluvial
Allahabad-Bamhrauli,March,15.9,33.1,34,130,7.9,19.3,4.76,Alluvial
Allahabad-Bamhrauli,April,22.1,39.3,27,147,8.9,22.6,6.53,Alluvial
Allahabad-Bamhrauli,May,26.3,41.6,27,173,9.1,23.6,7.73,Alluvial
Allahabad-Bamhrauli,June,27.8,39.5,44,181,5.9,18.9,6.72,Alluvial
Allahabad-Bamhrauli,July,26.1,33.8,72,156,3.6,15.4,4.36,Alluvial
Allahabad-Bamhrauli,August,25.7,32.8,80,138,3.5,14.7,3.71,Alluvial
Allahabad-Bamhrauli,September,24.4,32.9,74,130,5.9,16.9,4.14,Alluvial
Allahabad-Bamhrauli,October,20.2,32.7,59,78,8,17.6,3.87,Alluvial
Allahabad-Bamhrauli,November,14,29.4,59,69,8.5,16,3,Alluvial
Allahabad-Bamhrauli,December,9.8,24.7,68,69,7.9,14.2,2.25,Alluvial
Ambala,April,19.7,36.2,29,121,9.5,22.8,5.66,Sandy
Ambala,August,25.4,33.8,74,86,6.6,19,4.46,Sandy
Ambala,December,7.1,23.2,60,78,6.5,11.3,1.88,Sandy
Ambala,February,8.5,23.8,53,112,7.5,15.1,2.7,Sandy
Ambala,January,6.8,20.8,63,86,6.9,12.4,1.84,Sandy
Ambala,July,26,35.2,68,121,7,20.5,5.26,Sandy
Ambala,June,27.3,40.5,38,147,10.2,25.3,7.44,Sandy
Ambala,March,14.1,29.6,42,121,8.5,19.1,4.09,Sandy
Ambala,May,24.9,40.8,26,130,10.3,25.3,6.97,Sandy
Ambala,November,10.2,28.6,50,78,8.2,14.1,2.68,Sandy
Ambala,October,16.4,33.2,51,69,8.9,17.5,3.68,Sandy
Ambala,September,23.9,35.4,65,78,8.3,19.6,4.57,Sandy
Aminidivi,April,27.1,33,69,239,8.8,23.1,5.94,Sandy
Aminidivi,August,25.5,29.4,83,550,6.6,19.5,4.54,Sandy
Aminidivi,December,23.9,31.5,71,118,8.5,19.1,4.16,Sandy
Aminidivi,February,24.9,32,67,192,8.9,21.5,5.19,Sandy
Aminidivi,January,23.9,31.4,69,141,8.8,19.9,4.45,Sandy
Aminidivi,July,25.4,29.3,84,556,6.1,18.4,4.32,Sandy
Aminidivi,June,25.9,30.1,82,473,5.9,18,4.5,Sandy
Aminidivi,March,25.7,32.7,67,206,9.2,23.3,5.7,Sandy
Aminidivi,May,27.3,32.6,71,326,7.8,21.3,5.88,Sandy
Aminidivi,November,24.7,31.2,75,134,7.7,18.7,4.16,Sandy
Aminidivi,October,25.2,30.4,78,242,7.1,19.2,4.5,Sandy
Aminidivi,September,25.5,29.8,79,442,7.3,20.4,4.92,Sandy
Amravati,April,25.2,39.7,26,173,8.5,22.3,7.13,Alluvial
Amravati,August,23,29.8,75,251,4.3,15.9,4.18,Alluvial
Amravati,December,15.1,28.6,40,130,8.1,15.8,3.68,Alluvial
Amravati,February,17.2,31.8,30,156,8.7,19.1,4.97,Alluvial
Amravati,January,15.5,28.9,38,147,7.9,16.2,4,Alluvial
Amravati,July,23.4,30.3,74,294,4.1,16.1,4.54,Alluvial
Amravati,June,25.7,37,49,268,6.2,19.2,7.15,Alluvial
Amravati,March,21.2,36.2,28,164,8.8,21.3,6.14,Alluvial
Amravati,May,27.8,42.2,27,216,8.3,22.5,8.47,Alluvial
Amravati,November,17.4,30.1,40,130,8,16.7,4.12,Alluvial
Amravati,October,20.8,32.1,50,130,7.3,17.7,4.5,Alluvial
Amravati,September,22.7,30.6,72,173,5.2,16.5,4.1,Alluvial
Amritsar,April,16.3,33.8,43,95,8.2,20.9,4.64,Sandy
Amritsar,August,25.1,34.2,74,52,7,19.4,4.39,Sandy
Amritsar,December,4.4,21.3,71,52,6.4,10.8,1.45,Sandy
Amritsar,February,6,21.6,64,69,7.1,14.3,2.04,Sandy
Amritsar,January,3.7,19.4,68,52,6.2,11.2,1.4,Sandy
Amritsar,July,25.3,35,67,69,6.8,20,4.8,Sandy
Amritsar,June,24.6,39.4,40,121,8.1,22.2,6.32,Sandy
Amritsar,March,10.9,26.5,55,95,6.8,16.7,3.13,Sandy
Amritsar,May,21.1,38.7,31,95,9,23.2,5.77,Sandy
Amritsar,November,8.7,27.1,64,52,7.7,13.2,2.17,Sandy
Amritsar,October,15.1,32.3,58,52,8.4,16.6,3.26,Sandy
Amritsar,September,22.2,34.5,68,52,7.7,18.5,4.09,Sandy
Angul,April,24.9,38.9,40,147,8.2,21.8,6.32,Black
Angul,August,25.1,31.1,81,138,4,15.6,3.72,Black
Angul,December,13.4,26.9,58,95,7.9,15.6,2.95,Black
Angul,February,16.3,30.5,47,121,8.2,18.4,4.08,Black
Angul,January,13.8,27.7,55,95,7.9,16.2,3.08,Black
Angul,July,25.2,31.2,79,147,3.5,15.1,3.79,Black
Angul,June,26.5,36.3,61,164,5.3,17.8,5.42,Black
Angul,March,20.4,35.2,38,130,8.6,21.1,5.32,Black
Angul,May,26.8,40.3,46,190,7.4,21,7.02,Black
Angul,November,17.6,28.7,63,95,7.4,16,3.33,Black
Angul,October,22.5,31,72,95,6.3,16.3,3.69,Black
Angul,September,24.9,31.6,80,121,4.6,15.6,3.69,Black
Asansol,January,12.2,25.7,54,95,8.1,15.6,2.79,Red
Asansol,February,14.7,28.3,47,112,8.3,17.9,3.62,Red
Asansol,March,19.6,34.2,35,121,8.7,20.8,4.99,Red
Asansol,April,28.3,38.5,35,138,8.8,22.7,6.47,Red
Asansol,May,26.3,39.1,49,156,8.3,22.5,6.66,Red
Asansol,June,26.4,36.1,68,156,5.7,18.6,5.22,Red
Asansol,July,25.6,32,82,138,4,15.9,3.87,Red
Asansol,August,25.5,31.6,84,121,3.9,15.3,3.59,Red
Asansol,September,25.3,31.9,81,104,5.1,16.1,3.71,Red
Asansol,October,22.2,31.4,72,78,7.2,17,3.69,Red
Asansol,November,16.1,29,59,78,8.3,16.2,3.15,Red
Asansol,December,12.4,26.2,56,95,7.6,14.4,2.72,Red
Aurangabad,January,14.3,29.3,39,130,8.6,17.4,3.91,Black
Aurangabad,February,16.1,31.8,29,156,9.3,20.1,5.08,Black
Aurangabad,March,20.1,35.6,24,181,9.7,22.8,6.56,Black
Aurangabad,April,23.8,38.3,25,216,9.7,24.2,7.9,Black
Aurangabad,May,25,39.8,33,294,9.6,24.3,9.19,Black
Aurangabad,June,23.2,34.7,59,354,6.6,19.8,6.83,Black
Aurangabad,July,21.8,29.5,78,328,3.9,15.6,4.24,Black
Aurangabad,August,21.2,29.2,76,302,4.4,16.1,4.21,Black
Aurangabad,September,20.9,29.8,72,216,6.4,18.3,4.44,Black
Aurangabad,October,19.6,31.6,52,138,8.3,19.2,4.68,Black
Aurangabad,November,16.1,30.3,44,130,8.5,17.5,4.14,Black
Aurangabad,December,13.8,28.9,42,112,8.5,16.6,3.56,Black
Babatpur,January,9.5,23.4,62,95,7.4,14.3,2.36,Sandy
Babatpur,February,12,26.6,48,112,8.3,17.4,3.32,Sandy
Babatpur,March,17.2,33.4,32,138,9,20.9,5.15,Sandy
Babatpur,April,22.4,38.6,26,147,9.8,23.9,6.63,Sandy
Babatpur,May,27,41.5,32,147,10.1,25.1,7.41,Sandy
Babatpur,June,28.3,39.1,49,147,6.6,20,6.28,Sandy
Babatpur,July,26.5,33.5,76,138,3.3,14.9,4.06,Sandy
Babatpur,August,26,32.2,82,121,3.2,14.3,3.52,Sandy
Babatpur,September,25.4,32.7,76,95,5.5,16.4,3.87,Sandy
Babatpur,October,20.7,32.5,60,78,8.1,17.8,3.91,Sandy
Babatpur,November,13.4,28.6,55,78,8.7,16.2,3.07,Sandy
Babatpur,December,9.7,24.4,61,86,8.2,14.5,2.4,Sandy
Bahraich,January,8.8,22.6,68,61,7.8,14.1,1.96,Alluvial
